Match_Status,Team1,Team2,Score,Goals
40' (Ended early),EGEMENPROJETAKIMI,NAPOLI,3 - 0,6' Marcus Thuram | 19' Henrikh Mkhitaryan | 40' Marcus Thuram
83' (Ended early),EGEMENPROJETAKIMI,CHELSEA,0 - 2,
FT,EGEMENPROJETAKIMI,LIVERPOOL,2 - 2,10' Erling Haaland | 55' Erling Haaland
8' (Ended early),EGEMENPROJETAKIMI,MANCHESTER C,3 - 0,8' Erling Haaland
FT,EGEMENPROJETAKIMI,LIVERPOOL,2 - 0,62' Rodri | 80' Erling Haaland
FT,EGEMENPROJETAKIMI,ARSENAL,3 - 3,45' Erling Haaland | 68' Erling Haaland | 81' Jack Grealish
88' (Ended early),EGEMENPROJETAKIMI,MANCHESTER C,4 - 1,19' Phil Foden | 42' Erling Haaland | 52' Kevin De Bruyne | 88' Erling Haaland
FT,EGEMENPROJETAKIMI,MANCHESTER C,2 - 2,39' Erling Haaland | 85' Erling Haaland
FT,EGEMENPROJETAKIMI,MANCHESTER C,4 - 0,23' Erling Haaland | 42' Erling Haaland | 64' Erling Haaland | 83' Kevin De Bruyne
66' (Ended early),EGEMENPROJETAKIMI,MANCHESTER C,0 - 3,17' Manuel Akanji
FT,EGEMENPROJETAKIMI,LIVERPOOL,1 - 3,84' Erling Haaland
FT,EGEMENPROJETAKIMI,LIVERPOOL,3 - 1,14' Phil Foden | 37' Erling Haaland | 61' Erling Haaland
FT,EGEMENPROJETAKIMI,MANCHESTER U,2 - 0,58' Kevin De Bruyne | 68' Rodri
FT,EGEMENPROJETAKIMI,ARSENAL,2 - 3,24' Rodri | 49' Erling Haaland
FT,EGEMENPROJETAKIMI,LIVERPOOL,3 - 3,12' Erling Haaland | 37' Erling Haaland | 66' Ruben Dias
FT,EGEMENPROJETAKIMI,BE NICE OR BE QUIET,2 - 3,72' Erling Haaland | 80' Bernardo Silva
FT,EGEMENPROJETAKIMI,GEORGIA,1 - 0,43' Antonio Rudiger | 61' Erling Haaland
FT,EGEMENPROJETAKIMI,MANCHESTER CITY,2 - 2,27' Rodri | 84' Ousmane Dembele
81' (Ended early),EGEMENPROJETAKIMI,GALATASARAY,2 - 0,52' Erling Haaland | 65' Erling Haaland
FT,EGEMENPROJETAKIMI,REALMADRID,3 - 2,30' Cristiano Ronaldo | 52' Antonio Rudiger | 60' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,ALAHLY MS,2 - 1,56' Erling Haaland | 77' Erling Haaland
FT,EGEMENPROJETAKIMI,GALATASARAY FC,3 - 2,68' Erling Haaland | 79' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,CHERNOMORETS ODESSA,3 - 2,32' Jude Bellingham | 44' Cristiano Ronaldo | 75' Erling Haaland
FT,EGEMENPROJETAKIMI,FENERBAHCE BATMAN,1 - 1,82' Erling Haaland
FT,EGEMENPROJETAKIMI,OSCAR,1 - 0,14' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,NIGL FC,2 - 1,35' Cristiano Ronaldo | 58' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,UZBEKISTON,1 - 2,52' Antonio Rudiger
45' (Ended early),EGEMENPROJETAKIMI,CF REAL MADRID,4 - 1,18' Kingsley Coman | 45' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,REAL MADRID CF,0 - 2,
77' (Ended early),EGEMENPROJETAKIMI,ALBANIA,2 - 3,16' Antonio Rudiger | 50' Antonio Rudiger | 58' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,STONE FC,1 - 1,45' Ousmane Dembele
FT,EGEMENPROJETAKIMI,ESS,1 - 1,44' Jude Bellingham | 61' Vini Jr.
FT,EGEMENPROJETAKIMI,ALAHLY,4 - 0,34' Vini Jr. | 42' Ousmane Dembele | 61' Denzel Dumfries | 72' Ousmane Dembele
88' (Ended early),EGEMENPROJETAKIMI,HASAN,4 - 1,78' Bernardo Silva | 88' Erling Haaland
88' (Ended early),EGEMENPROJETAKIMI,WAC,4 - 1,37' Cristiano Ronaldo | 50' Cristiano Ronaldo | 88' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,GALATASARAY VECIH,3 - 3,42' Rodri | 64' Vini Jr. | 78' Erling Haaland
FT,EGEMENPROJETAKIMI,ETOILE DU SAHEL,3 - 0,79' Erling Haaland | 85' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,MAROC,2 - 1,48' Erling Haaland | 89' Cristiano Ronaldo
49' (Ended early),EGEMENPROJETAKIMI,SHATTA 55,1 - 3,43' (PEN) Erling Haaland
FT,EGEMENPROJETAKIMI,EMMM,2 - 1,29' Rodri | 40' Erling Haaland
FT,EGEMENPROJETAKIMI,NENE FC,0 - 1,
34' (Ended early),EGEMENPROJETAKIMI,JDJD,0 - 3,
FT,EGEMENPROJETAKIMI,FC CORVINUL,1 - 2,4' Erling Haaland
84' (Ended early),EGEMENPROJETAKIMI,ARARAT,1 - 3,37' Erling Haaland
76' (Ended early),EGEMENPROJETAKIMI,ZENIT FC,2 - 1,57' Erling Haaland | 65' Erling Haaland
FT,EGEMENPROJETAKIMI,FULASHI,3 - 2,37' Erling Haaland | 48' Erling Haaland | 68' Erling Haaland
FT,EGEMENPROJETAKIMI,NANDEZ LADS,1 - 2,15' Antonio Rudiger
87' (Ended early),EGEMENPROJETAKIMI,FCALBY,3 - 1,9' Bernardo Silva | 67' Erling Haaland | 86' Kingsley Coman
FT,EGEMENPROJETAKIMI,KF TIRONA,2 - 3,17' Erling Haaland | 51' Kevin De Bruyne
FT,EGEMENPROJETAKIMI,FATO 223,3 - 1,41' Erling Haaland | 67' Kingsley Coman | 84' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,FENERBAHCE,2 - 1,43' Erling Haaland | 60' Erling Haaland
FT,EGEMENPROJETAKIMI,REAL MADRID,5 - 3,37' Erling Haaland | 52' Erling Haaland | 67' Erling Haaland | 75' Erling Haaland | 90' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,JETISY JASTAR,3 - 1,24' Kevin De Bruyne | 32' Kevin De Bruyne | 77' Antonio Rudiger
FT,EGEMENPROJETAKIMI,ABMMMM,2 - 0,44' Erling Haaland | 59' Erling Haaland
FT,EGEMENPROJETAKIMI,AHLY,5 - 1,9' Denzel Dumfries | 24' Éder Militao | 53' Vini Jr. | 63' Erling Haaland | 72' Erling Haaland | 83' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,KONA FC,3 - 1,20' Rodri | 53' Erling Haaland | 74' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,GIYAN,4 - 0,38' Erling Haaland | 45' Erling Haaland | 54' Ousmane Dembele | 65' Antonio Rudiger | 77' (PEN) Erling Haaland
FT,EGEMENPROJETAKIMI,NAUORI,0 - 0,
45' (Ended early),EGEMENPROJETAKIMI,FC ALGERIA,4 - 1,
82' (Ended early),EGEMENPROJETAKIMI,URFASPOR,0 - 3,
FT,EGEMENPROJETAKIMI,999,1 - 2,61' Erling Haaland
FT,EGEMENPROJETAKIMI,ODIME NA POBEDA,3 - 1,23' Erling Haaland | 40' Erling Haaland | 60' Erling Haaland
FT,EGEMENPROJETAKIMI,SILENCIEUX,1 - 0,83' Erling Haaland
58' (Ended early),EGEMENPROJETAKIMI,FC MADRID,0 - 2,
FT,EGEMENPROJETAKIMI,MADERAT,3 - 3,35' Erling Haaland | 50' Vini Jr. | 77' Erling Haaland
FT,EGEMENPROJETAKIMI,SHEPLAQ,1 - 0,16' Vini Jr.
FT,EGEMENPROJETAKIMI,GALATASARAY,1 - 1,8' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,SELEHATTIN DEMIRTAS,3 - 4,20' Erling Haaland | 39' Kingsley Coman | 67' Erling Haaland | 69' Erling Haaland
FT,EGEMENPROJETAKIMI,FC WUTTA,2 - 3,28' Erling Haaland | 73' Erling Haaland
FT,EGEMENPROJETAKIMI,CAN'T FIT MY WILLIAN,1 - 1,90' Erling Haaland
FT,EGEMENPROJETAKIMI,FENERBAHCE1907,2 - 0,45' Rodri | 83' Antonio Rudiger
FT,EGEMENPROJETAKIMI,ALELMY,3 - 0,70' Kevin De Bruyne | 74' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,TURKMENSTAN,1 - 1,35' Antonio Rudiger | 66' Erling Haaland
FT,EGEMENPROJETAKIMI,MESSI,0 - 0,
FT,EGEMENPROJETAKIMI,YUKSALISH,2 - 2,4' Vini Jr. | 22' Éder Militao | 50' Éder Militao | 90' Jude Bellingham
FT,EGEMENPROJETAKIMI,TURKIYE,2 - 1,49' Erling Haaland | 72' Ousmane Dembele
FT,EGEMENPROJETAKIMI,DZC FK,0 - 0,
FT,EGEMENPROJETAKIMI,BECKHED FC,2 - 2,90' Erling Haaland | 114' Erling Haaland
FT,EGEMENPROJETAKIMI,HAJDUK SPLIT,1 - 2,4' Erling Haaland
FT,EGEMENPROJETAKIMI,MOC,4 - 3,29' Erling Haaland | 49' Erling Haaland | 65' Erling Haaland | 81' Erling Haaland
FT,EGEMENPROJETAKIMI,MONSTER,5 - 6,30' Antonio Rudiger | 38' Erling Haaland | 51' Erling Haaland | 101' Erling Haaland | 120' Bernardo Silva
64' (Ended early),EGEMENPROJETAKIMI,BUTAN,2 - 3,18' Vini Jr. | 49' Erling Haaland
FT,EGEMENPROJETAKIMI,YAHYA ALADAWY,0 - 3,
FT,EGEMENPROJETAKIMI,ZUKKY,2 - 1,15' Erling Haaland | 38' Erling Haaland
20' (Ended early),EGEMENPROJETAKIMI,KAYSAR,0 - 3,
60' (Ended early),EGEMENPROJETAKIMI,MBY,3 - 0,6' Erling Haaland | 13' Vini Jr. | 60' Erling Haaland
FT,EGEMENPROJETAKIMI,PEOPLE OF PEACE,1 - 2,28' Erling Haaland
FT,EGEMENPROJETAKIMI,CELTA DE VINO,2 - 1,34' Kevin De Bruyne | 99' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,ETHIOPIA FC,3 - 2,7' Erling Haaland | 21' Denzel Dumfries | 31' Erling Haaland | 111' Erling Haaland | 115' Erling Haaland
FT,EGEMENPROJETAKIMI,EMIR ATES FK,2 - 1,30' Erling Haaland | 90' Jude Bellingham
FT,EGEMENPROJETAKIMI,WNELOVE FC,4 - 2,17' Erling Haaland | 71' Erling Haaland | 82' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,GALATASARAY,3 - 0,4' Erling Haaland | 29' Jude Bellingham | 36' Erling Haaland | 45' Jude Bellingham
FT,EGEMENPROJETAKIMI,AJA FC,2 - 0,16' Erling Haaland | 70' Erling Haaland
FT,EGEMENPROJETAKIMI,KING PELE,2 - 1,9' Erling Haaland | 45' Antonio Rudiger | 114' Cristiano Ronaldo
AET,EGEMENPROJETAKIMI,ALZMELK,0 - 1,
66' (Ended early),EGEMENPROJETAKIMI,REAL MADRID,1 - 4,13' Jude Bellingham
67' (Ended early),EGEMENPROJETAKIMI,MONTEPINHEIRO FC,0 - 2,52' Antonio Rudiger | 66' Andrew Robertson
FT,EGEMENPROJETAKIMI,MIDO,2 - 3,76' (PEN) Erling Haaland | 86' Cristiano Ronaldo
64' (Ended early),EGEMENPROJETAKIMI,FENERBAHCE,2 - 3,52' Erling Haaland | 64' Bernardo Silva
FT,EGEMENPROJETAKIMI,SHIRE,2 - 0,35' Erling Haaland | 51' Kingsley Coman
FT,EGEMENPROJETAKIMI,GALATASARAY,5 - 2,41' Cristiano Ronaldo | 60' Cristiano Ronaldo | 75' Cristiano Ronaldo | 88' Erling Haaland
FT,EGEMENPROJETAKIMI,GONEN SPOR,2 - 0,8' Cristiano Ronaldo | 73' Erling Haaland
FT,EGEMENPROJETAKIMI,B A R C E L O N A,3 - 3,56' Erling Haaland | 85' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,KURD,1 - 2,4' Ousmane Dembele
63' (Ended early),EGEMENPROJETAKIMI,DCERVANTS,3 - 0,4' Erling Haaland | 45' Jude Bellingham | 50' Kevin De Bruyne | 63' Antonio Rudiger
FT,EGEMENPROJETAKIMI,STEMPIATI FC,1 - 2,23' Erling Haaland | 90' Éder Militao
FT,EGEMENPROJETAKIMI,KIELER SV HOLSTEIN VON 1900 EV,2 - 2,19' Erling Haaland | 34' Erling Haaland
46' (Ended early),EGEMENPROJETAKIMI,YOUSSEF CHAAB,4 - 1,15' Vini Jr. | 27' Erling Haaland
FT,EGEMENPROJETAKIMI,ALI AL-IRAQ,0 - 1,
FT,EGEMENPROJETAKIMI,DAN UNITED FC,1 - 0,40' Vini Jr.
FT,EGEMENPROJETAKIMI,BRITO,3 - 0,8' Erling Haaland | 16' Erling Haaland | 89' Erling Haaland
FT,EGEMENPROJETAKIMI,MOHA MAR,3 - 3,44' Erling Haaland | 78' Erling Haaland | 90' Antonio Rudiger
FT,EGEMENPROJETAKIMI,NASR,1 - 1,17' Erling Haaland
85' (Ended early),EGEMENPROJETAKIMI,KEN STARS,3 - 0,20' Erling Haaland | 45' Antonio Rudiger | 51' Ousmane Dembele | 70' Ousmane Dembele
76' (Ended early),EGEMENPROJETAKIMI,FENERBAHCE,4 - 2,17' Erling Haaland | 44' Erling Haaland | 71' Kingsley Coman | 76' Bernardo Silva
FT,EGEMENPROJETAKIMI,BARCELONA,2 - 2,40' Vini Jr. | 82' Kingsley Coman
FT,EGEMENPROJETAKIMI,001,1 - 1,2' Erling Haaland | 73' Kingsley Coman
FT,EGEMENPROJETAKIMI,MODY,3 - 3,23' Éder Militao | 61' Ousmane Dembele | 83' Thibaut Courtois | 90' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,ALGERIA,1 - 2,37' Erling Haaland
FT,EGEMENPROJETAKIMI,GALATASARAY,2 - 4,30' Luka Modrić | 52' Erling Haaland
FT,EGEMENPROJETAKIMI,KOUMA FOOT,2 - 2,45' Ousmane Dembele | 52' Vini Jr.
78' (Ended early),EGEMENPROJETAKIMI,OMAR 85,3 - 0,45' Cristiano Ronaldo | 69' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,HALA MDRID,3 - 3,10' Cristiano Ronaldo | 34' Erling Haaland | 56' Cristiano Ronaldo | 61' Declan Rice
26' (Ended early),EGEMENPROJETAKIMI,SPORTING CRISTAL,0 - 3,
FT,EGEMENPROJETAKIMI,REAL MALI,1 - 2,83' Erling Haaland
FT,EGEMENPROJETAKIMI,FENERBAHCE,2 - 4,14' Erling Haaland | 17' Antonio Rudiger | 54' Bernardo Silva
88' (Ended early),EGEMENPROJETAKIMI,SLP CITY,2 - 0,73' Cristiano Ronaldo | 88' Erling Haaland
FT,EGEMENPROJETAKIMI,DEMO,2 - 3,19' Vini Jr. | 87' Kevin De Bruyne
FT,EGEMENPROJETAKIMI,R MADRID,0 - 1,
FT,EGEMENPROJETAKIMI,UKRAINE,1 - 0,67' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,LEVERPOOL,0 - 0,
FT,EGEMENPROJETAKIMI,FCZESTAFONI,3 - 0,3' Kingsley Coman | 29' Kingsley Coman | 77' Cristiano Ronaldo
86' (Ended early),EGEMENPROJETAKIMI,MBAPPE,4 - 1,29' Cristiano Ronaldo | 39' (PEN) Cristiano Ronaldo | 63' Cristiano Ronaldo
69' (Ended early),EGEMENPROJETAKIMI,SCHOOL FC,3 - 1,11' Cristiano Ronaldo | 17' Jude Bellingham | 69' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,NEW SPORT,1 - 2,83' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,REAL MADRID CF,1 - 2,57' Ousmane Dembele
FT,EGEMENPROJETAKIMI,KURDISTAN,1 - 2,68' Ousmane Dembele
FT,EGEMENPROJETAKIMI,ALTAY,0 - 0,
FT,EGEMENPROJETAKIMI,AUAHAH,2 - 3,10' Cristiano Ronaldo | 12' Jude Bellingham | 55' Cristiano Ronaldo
24' (Ended early),EGEMENPROJETAKIMI,DISIPULOS DE SAN TEMACH,3 - 0,11' Antonio Rudiger | 24' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,QARABAG FC,2 - 0,67' Cristiano Ronaldo | 83' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,KWABZ XI,2 - 3,41' Cristiano Ronaldo | 45' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,J TURIN,1 - 0,9' Rodrygo
FT,EGEMENPROJETAKIMI,TAJIKISTAN,1 - 0,64' Jude Bellingham
FT,EGEMENPROJETAKIMI,OMEROGLU SPOR,0 - 1,
82' (Ended early),EGEMENPROJETAKIMI,CLUB AFRICAIN,2 - 0,39' Cristiano Ronaldo | 56' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,KENNYBOY,3 - 1,50' Cristiano Ronaldo | 63' Cristiano Ronaldo | 78' Jude Bellingham | 88' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,K SHOW FC,4 - 0,4' Cristiano Ronaldo | 20' Kingsley Coman | 82' Cristiano Ronaldo | 88' Ousmane Dembele
FT,EGEMENPROJETAKIMI,GALATASARAY,3 - 1,38' Cristiano Ronaldo | 65' Cristiano Ronaldo | 90' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,NOPASARAN,0 - 1,
FT,EGEMENPROJETAKIMI,GALATASARAY FC,1 - 1,14' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,LAYIK,1 - 2,88' Kingsley Coman
64' (Ended early),EGEMENPROJETAKIMI,REAL MADRID,2 - 0,16' Cristiano Ronaldo | 64' Kevin De Bruyne
FT,EGEMENPROJETAKIMI,ADEOLA,2 - 1,45' Cristiano Ronaldo | 60' Jude Bellingham
FT,EGEMENPROJETAKIMI,SIDI,3 - 3,38' Ousmane Dembele | 57' Cristiano Ronaldo | 65' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,AS CLOUANGE,3 - 1,25' Kingsley Coman | 35' Denzel Dumfries | 90' Wissam Ben Yedder
FT,EGEMENPROJETAKIMI,GURKEYN,1 - 1,90' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,AL AHLY,3 - 2,78' Ousmane Dembele | 83' Cristiano Ronaldo | 90' Jude Bellingham
FT,EGEMENPROJETAKIMI,MOR,1 - 0,41' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,CHELSEA,1 - 2,90' Wissam Ben Yedder
FT,EGEMENPROJETAKIMI,TRACTOR,1 - 0,8' Éder Militao | 55' Antonio Rudiger
FT,EGEMENPROJETAKIMI,PANATHINAIKOS FC,4 - 2,10' Kevin De Bruyne | 23' Cristiano Ronaldo | 34' Danny Vukovic | 75' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,GLL,1 - 0,21' Ousmane Dembele
73' (Ended early),EGEMENPROJETAKIMI,PAXTAKOR FC,4 - 1,7' Adrien Rabiot | 22' Cristiano Ronaldo | 57' Antonio Rudiger | 73' Bernardo Silva
FT,EGEMENPROJETAKIMI,WINNER FC,1 - 2,52' (PEN) Cristiano Ronaldo | 90' Antonio Rudiger
FT,EGEMENPROJETAKIMI,Dream FC,7 - 0,18' Denzel Dumfries | 58' Ousmane Dembele | 62' Cristiano Ronaldo | 67' Kingsley Coman | 73' Cristiano Ronaldo | 78' Cristiano Ronaldo | 90' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,DAGM,3 - 0,43' Luka Modrić | 50' Cristiano Ronaldo | 68' Kingsley Coman | 80' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,RC CELTA VIGO,3 - 2,16' Ousmane Dembele | 42' Bruno Fernandes | 90' Wissam Ben Yedder
FT,EGEMENPROJETAKIMI,PSG FF,1 - 0,28' Wissam Ben Yedder
FT,EGEMENPROJETAKIMI,ZSC,2 - 0,31' Kingsley Coman | 60' Cristiano Ronaldo | 81' Antonio Rudiger
FT,EGEMENPROJETAKIMI,LILE FC,2 - 1,28' Cristiano Ronaldo | 36' Virgil van Dijk
FT,EGEMENPROJETAKIMI,CRVENA ZVEZDA,6 - 2,5' Cristiano Ronaldo | 24' Cristiano Ronaldo | 42' Kingsley Coman | 54' Cristiano Ronaldo | 71' Bernardo Silva | 90' Ousmane Dembele
FT,EGEMENPROJETAKIMI,WAC,2 - 0,6' Cristiano Ronaldo | 90' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,BUXARA,0 - 1,
FT,EGEMENPROJETAKIMI,ASTON VILA,3 - 1,23' Cristiano Ronaldo | 56' Ousmane Dembele | 80' Luis Diaz
FT,EGEMENPROJETAKIMI,MBM FC,1 - 0,38' Adrien Rabiot
FT,EGEMENPROJETAKIMI,GALATASARAY,4 - 2,29' Kingsley Coman | 35' Ousmane Dembele | 44' Denzel Dumfries | 90' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,FAHD,3 - 3,39' Cristiano Ronaldo | 68' Kingsley Coman | 90' Adrien Rabiot
FT,EGEMENPROJETAKIMI,MARRUECOS,2 - 1,45' Kingsley Coman | 54' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,FC MONTFERMEIL,0 - 0,60' Antonio Rudiger
FT,EGEMENPROJETAKIMI,BOSNA,4 - 0,15' Cristiano Ronaldo | 39' Cristiano Ronaldo | 63' Ousmane Dembele | 89' Kingsley Coman
FT,EGEMENPROJETAKIMI,ANAS CLUB,2 - 0,23' Ousmane Dembele | 45' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,DANIEL FC,1 - 0,55' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,WIZZY,5 - 1,8' Antonio Rudiger | 32' Cristiano Ronaldo | 38' Kingsley Coman | 81' Cristiano Ronaldo | 90' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,10KAY FC,2 - 0,16' Cristiano Ronaldo | 81' Luka Modrić
FT,EGEMENPROJETAKIMI,UZB,5 - 1,16' Kingsley Coman | 23' Cristiano Ronaldo | 32' Cristiano Ronaldo | 37' Bernardo Silva | 39' Djed Spence | 45' Cristiano Ronaldo | 71' Ousmane Dembele
FT,EGEMENPROJETAKIMI,ASC BADEL,3 - 0,63' Cristiano Ronaldo | 72' Cristiano Ronaldo | 90' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,SJ FC,2 - 0,30' Kingsley Coman | 60' Ousmane Dembele | 90' Wissam Ben Yedder
80' (Ended early),EGEMENPROJETAKIMI,ADENTA STARS,3 - 1,39' Bernardo Silva | 45' Cristiano Ronaldo | 80' Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,LIFE,1 - 0,7' Ousmane Dembele
FT,EGEMENPROJETAKIMI,PERSPOLIS,1 - 0,53' Wissam Ben Yedder
FT,EGEMENPROJETAKIMI,BRIMA FC,1 - 2,35' Wissam Ben Yedder | 90' Mohammed Salisu
FT,EGEMENPROJETAKIMI,ISRAEL GAVRA,2 - 0,75' Wissam Ben Yedder | 81' Luka Modrić
24' (Ended early),EGEMENPROJETAKIMI,FC BARCHALONA,0 - 3,
FT,EGEMENPROJETAKIMI,EQUIPE DU MAROC,1 - 0,32' Kingsley Coman | 82' Milan Skriniar
FT,EGEMENPROJETAKIMI,PSGPSG,1 - 0,85' Wissam Ben Yedder
FT,EGEMENPROJETAKIMI,JAIME FC,1 - 2,58' Ousmane Dembele
7' (Ended early),EGEMENPROJETAKIMI,LERWE,3 - 0,
FT,EGEMENPROJETAKIMI,UZBEKISTAN,1 - 0,12' Wissam Ben Yedder
87' (Ended early),EGEMENPROJETAKIMI,MYTEEADINO FOOTBALL CLUB,7 - 0,21' Wissam Ben Yedder | 41' Wissam Ben Yedder | 53' Wissam Ben Yedder | 62' Wissam Ben Yedder | 72' Mohammed Salisu | 79' Denzel Dumfries | 85' Wissam Ben Yedder | 89' Wissam Ben Yedder
FT,EGEMENPROJETAKIMI,REAL MADRID,3 - 1,12' Bryan Reyna | 51' Bryan Reyna | 79' Paulinho
FT,EGEMENPROJETAKIMI,ALOMA FC,3 - 1,19' Paulinho | 38' Aleksey Miranchuk | 66' Ander Herrera
44' (Ended early),EGEMENPROJETAKIMI,REAL MADRID BE SCARED,4 - 1,10' Wissam Ben Yedder | 22' Denzel Dumfries | 34' Paulinho | 44' Paulinho
14' (Ended early),EGEMENPROJETAKIMI,NASAF,4 - 1,6' Paulinho
FT,EGEMENPROJETAKIMI,FC TIGER,3 - 1,20' Wissam Ben Yedder | 27' Wissam Ben Yedder | 36' Paulinho
FT,EGEMENPROJETAKIMI,FEDE,2 - 2,15' Paulinho | 41' Paulinho
FT,EGEMENPROJETAKIMI,BJK,2 - 1,37' Paulinho | 80' Wissam Ben Yedder
FT,EGEMENPROJETAKIMI,TK VIBEZ,2 - 1,24' Paulinho | 63' Paulinho
7' (Ended early),EGEMENPROJETAKIMI,AYOUB KZ,3 - 0,
FT,EGEMENPROJETAKIMI,MOROCOO,1 - 1,14' Paulinho
FT,EGEMENPROJETAKIMI,YNBG,4 - 0,26' Paulinho | 41' Paulinho | 51' Wissam Ben Yedder | 59' Wissam Ben Yedder
FT,EGEMENPROJETAKIMI,CG7RULEZ,0 - 0,
FT,EGEMENPROJETAKIMI,AL NASR,3 - 1,19' Kingsley Coman | 50' Wissam Ben Yedder | 77' Denzel Dumfries
FT,EGEMENPROJETAKIMI,THE FIENDS,3 - 2,13' Wissam Ben Yedder | 23' Wissam Ben Yedder | 67' Kingsley Coman
FT,EGEMENPROJETAKIMI,ENERGETIK FC,1 - 0,33' Paulinho
FT,EGEMENPROJETAKIMI,BRCHALONA,3 - 0,28' Wissam Ben Yedder | 39' Wissam Ben Yedder | 45' Wissam Ben Yedder
46' (Ended early),EGEMENPROJETAKIMI,GUILHERME PEREIRA,3 - 0,20' Wissam Ben Yedder | 33' Paulinho | 39' Warren Zaïre-Emery | 45' Paulinho
49' (Ended early),EGEMENPROJETAKIMI,GANGSTERS,3 - 0,18' Wissam Ben Yedder | 44' Paulinho | 49' Paulinho
81' (Ended early),EGEMENPROJETAKIMI,P EINDHOVEN,2 - 0,13' Rodrygo | 43' Jude Bellingham | 75' Brahim Diaz
FT,EGEMENPROJETAKIMI,R MADRID,1 - 2,42' Vini Jr. | 85' Ferland Mendy
FT,EGEMENPROJETAKIMI,MANCHESTER C,3 - 1,39' Vini Jr. | 72' (PEN) Jude Bellingham | 90' Vini Jr.
46' (Ended early),EGEMENPROJETAKIMI,ASTON V,3 - 0,6' Jude Bellingham | 44' Aurelien Tchouameni
FT,EGEMENPROJETAKIMI,R MADRID,3 - 3,6' Antonio Rudiger | 17' Vini Jr. | 43' Vini Jr. | 67' Rodrygo
84' (Ended early),EGEMENPROJETAKIMI,R MADRID,1 - 3,73' Vini Jr.
FT,EGEMENPROJETAKIMI,Dream FC,0 - 0,
